 Đường Nguyễn Ánh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh
 Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
 Đường Quốc lộ 14, Phường Đoàn Kết, Thị xã Buôn Hồ, Đắk Lắk
 Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội
 Đường Ngọc Hồi, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng
 Phố Nguyễn Đình Hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Phố Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội
 Quốc lộ 25, Xã Sơn Nguyên, Huyện Sơn Hòa, Phú Yên
 Đường Nguyễn Sơn, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Đường Tỉnh lộ 8, Xã Ea Kuêh, Huyện Cư Mgar, Đắk Lắk
 Phố Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội
 Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội
 Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Phố Hàng Than, Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội
 Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Xô Viết Nghệ Tĩnh, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Phố Nguyễn Cao, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Văn Huyên, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội
 Xã Sơn Thành Tây, Huyện Tây Hòa, Phú Yên
 Phố Nguyễn Du, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Cầu Lạc Trung, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội
 Đường Bình Giã, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Khu tập thể Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội
 Đường Tôn Thất Thuyết, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
 Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng
 Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội
 Đường Quốc Lộ 29, Xã Dliê Ya, Huyện Krông Năng, Đắk Lắk
 Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội
 Phố Hàng Điếu, Phường Hàng Mã, Quận Hoàn Kiếm, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Phạm Ngọc Thạch, Phường Trung Tự, Quận Đống Đa, Hà Nội
 Đường Thi Sách, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
 Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội
 Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Phố Phạm Huy Thông, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội
 Đường An Xá, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội
 Đường Quốc Lộ 27, Xã Ea Hu, Huyện Cư Kuin, Đắk Lắk
 Đường Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội
 Đường Võ Nguyên Giáp, Xã Thủy Vân, Thị xã Hương Thủy, Huế
 Đường Xô Viết Nghệ Tĩnh, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Quốc Lộ 29, Xã Ea Drông, Thị xã Buôn Hồ, Đắk Lắk
 Đường Chương Dương, Phường Linh Chiểu, Quận Thủ Đức, Hồ Chí Minh
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phường Yên Phụ, Quận Tây Hồ, Hà Nội
 Quốc lộ 25, Xã Sơn Hà, Huyện Sơn Hòa, Phú Yên
 Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội
 Đường Từ Hoa, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội
 Đường Thân Nhân Trung, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Đường Quốc lộ 14, Xã Cư Pơng, Huyện Krông Búk, Đắk Lắk
 Phố Huế, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Quốc lộ 25, Xã Sơn Hà, Huyện Sơn Hòa, Phú Yên
 Phố Hòa Mã, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội
 Đường Cầu vượt Mai Dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Đường Xa Lộ Hà Nội, Phường Hiệp Phú, Quận Thủ Đức, Hồ Chí Minh
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phố Vũ Ngọc Phan, Phường Láng Hạ, Quận Đống Đa, Hà Nội
 Đường Trương Công Định, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Trần Nhật Duật, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Nguyễn Trường Tộ, Phường 3, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Quốc lộ 25, Xã Sơn Hà, Huyện Sơn Hòa, Phú Yên
 Đường Quốc Lộ 29, Xã Ea Drông, Thị xã Buôn Hồ, Đắk Lắk
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Quốc lộ 14, Xã Cư Né, Huyện Krông Búk, Đắk Lắk
 Phố Nguyễn Thị Định, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Lạc Long Quân, Phường Phú Thượng, Quận Tây Hồ, Hà Nội
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Linh Đông, Phường Linh Đông, Quận Thủ Đức, Hồ Chí Minh
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội
 Đường Trần Hưng Đạo, Phường 6, Quận 5, Hồ Chí Minh
 Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Đường Quang Trung, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Xã Vân Canh, Huyện Hoài Đức, Hà Nội
 Đường Số 4, Phường Trường Thọ, Quận Thủ Đức, Hồ Chí Minh
 Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Lê Văn Việt, Phường Hiệp Phú, Quận 9, Hồ Chí Minh
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường số 10, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ
 Phường An Bình, Quận Ninh Kiều, Cần Thơ
 Phố Hai Bà Trưng, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội
 Đường Lý Nam Đế, Xã Đồng Tiến, Thị xã Phổ Yên, Thái Nguyên
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phố Nguyễn Du, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội
 Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội
 Đường Trương Công Định, Phường 7, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Hàm Long, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội
 Đường Xô Viết Nghệ Tĩnh, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Công Binh, Phường Trà An, Quận Bình Thủy, Cần Thơ
 Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Chu Mạnh Trinh, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Việt Hồng, Phường An Phú, Quận Ninh Kiều, Cần Thơ
 Đường 30/4, Phường Rạch Dừa, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Mai Anh Tuấn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Hồ Chí Minh
 Phố Triệu Việt Vương, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội
 Đường A2, Phường An Khánh, Quận Ninh Kiều, Cần Thơ
 Đường Võ Thị Sáu, Phường Long Tâm, Thành phố Bà Rịa, Bà Rịa Vũng Tàu
 Đường Lê Lai, Phường An Phú, Quận Ninh Kiều, Cần Thơ
 Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Lý Tự Trọng, Phường An Phú, Quận Ninh Kiều, Cần Thơ
 Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Hoàng Như Tiếp, Phường Gia Thụy, Quận Long Biên, Hà Nội
 Đường Yên Hòa, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Cầu Giấy, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Cao Bá Quát, Phường Tân An, Quận Ninh Kiều, Cần Thơ
 Đường Nguyễn Trường Tộ, Phường 3, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội
 Phường 10, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Thanh Am, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội
 Phố Lò Đúc, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội
 Phường Nhân Chính, Quận Thanh Xuân, Hà Nội
 Phố Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội
 Đường Võ Chí Công, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Đường Hạ Yên, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Đường  Phú Mỹ - Tóc Tiên, Thị Trấn Phú Mỹ, Huyện Tân Thành, Bà Rịa Vũng Tàu
 Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội
 Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Vạn Phúc, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Dương Khuê, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Đường  Phú Mỹ - Tóc Tiên, Thị Trấn Phú Mỹ, Huyện Tân Thành, Bà Rịa Vũng Tàu
 Đường Nam Trung Yên, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Phố Nguyễn Thị Thập, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Mã Mây, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội
 Đường Trần Văn Trà, Phường Hưng Phú, Quận Cái Răng, Cần Thơ
 Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Bình Giã, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Nguyễn Bá Lân, Phường 9, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ
 Đường Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Phố Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội
 Đường Bùi Huy Bích, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Võ Văn Ngân, Phường Linh Chiểu, Quận Thủ Đức, Hồ Chí Minh
 Đường  Phú Mỹ - Tóc Tiên, Thị Trấn Phú Mỹ, Huyện Tân Thành, Bà Rịa Vũng Tàu
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường  Phú Mỹ - Tóc Tiên, Xã Châu Pha, Huyện Tân Thành, Bà Rịa Vũng Tàu
 Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Lương Đình Của, Xã Vĩnh Trung, Thành phố Nha Trang, Khánh Hòa
 Đường Huỳnh Văn Nghệ, Phường 15, Quận Tân Bình, Hồ Chí Minh
 Đường Nguyễn Thái Học, Phường 7, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Dương Quảng Hàm, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
 Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh
 Đường Khuất Duy Tiến, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội
 Đường Hiệp Bình, Phường Hiệp Bình Chánh, Quận Thủ Đức, Hồ Chí Minh
 Đường Nguyễn Văn Huyên, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Hàng Bồ, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội
 Phường Thổ Quan, Quận Đống Đa, Hà Nội
 Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh
 Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội
 Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Phố Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Bùi Thị Xuân, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội
 Đường Ngô Thì Nhậm, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội
 Đường Lâm Du Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Nguyễn Khuyến, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Đường Nguyễn Văn Tiên, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Đường Từ Hoa, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Đường Phạm Văn Đồng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Xã Hải Bối, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Văn Huyên, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội
 Đường Bắc Thăng Long-Nội Bài, Xã Hải Bối, Huyện Đông Anh, Hà Nội
 Đường Trần Phú, Phường 5, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Chu Huy Mân, Phường Sài Đồng, Quận Long Biên, Hà Nội
 Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội
 Đường Nguyễn Phong Sắc, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
 Phố Đào Duy Từ, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội
 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Cầu Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội
 Đường Quốc Lộ 3, Xã Cổ Loa, Huyện Đông Anh, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Đường Nguyễn Văn Huyên, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội
 Đường Chu Mạnh Trinh, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Tây Sơn 2, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội
 Xã Tiên Dương, Huyện Đông Anh, Hà Nội
 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội
 Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội
 Đường Long Hưng, Xã Kim Chung, Huyện Hoài Đức, Hà Nội
 Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội
 Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Lò Sũ, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội
 Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Đường Lê Ngọc Hân, Phường 1, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Cự Lộc, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội
 Đường Phạm Hồng Thái, Phường 7, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Phố Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
 Phố Tây Sơn, Phường Thịnh Quang, Quận Đống Đa, Hà Nội
 Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội
 Đường Trần Huy Liệu, Phường 7, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Đê Trần Khát Chân, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội
 Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội
 Phố Hoàng Ngân, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội
 Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội
 Đường Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Đê La Thành, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Đường 30/4, Phường 9, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Phạm Văn Đồng, Phường Linh Tây, Quận Thủ Đức, Hồ Chí Minh
 Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Đường Thi Sách, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội
 Đường Hồ Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội
 Đường Số 8, Phường 16, Quận Gò Vấp, Hồ Chí Minh
 Phố Tô Vĩnh Diện, Phường Khương Trung, Quận Thanh Xuân, Hà Nội
 Đường Lê Lợi, Phường 4, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Xã Tiên Dương, Huyện Đông Anh, Hà Nội
 Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Yên Lãng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội
 Đường Bưởi, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Hoàng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng
 Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội
 Đường Quang Trung, Phường 8, Quận Gò Vấp, Hồ Chí Minh
 Đường Ba Cu, Phường 4, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội
 Đường Lê Văn Thịnh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng
 Phố Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Nam Kỳ Khởi Nghĩa, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Hàng Bồ, Phường Hàng Đào, Quận Hoàn Kiếm, Hà Nội
 Phố Trần Nhân Tông, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội
 Đường Cầu vượt Mai Dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Đường 19 Tháng 4, Phường Xuân An, Thành phố Phan Thiết, Bình Thuận
 Đường Lê Hồng Phong, Phường 7, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Đền Lừ, Phường Tương Mai, Quận Hoàng Mai, Hà Nội
 Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội
 Đường Lương Khánh Thiện, Phường Tương Mai, Quận Hoàng Mai, Hà Nội
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội
 Đường Nhật Tảo, Phường 4, Quận 10, Hồ Chí Minh
 Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Phố Hàng Bồ, Phường Hàng Đào, Quận Hoàn Kiếm, Hà Nội
 Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội
 Đường Kim Mã, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Đường Quốc lộ 23B, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Phố Nguyễn Đình Hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội
 Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội
 Đường Sáp Mai, Xã Võng La, Huyện Đông Anh, Hà Nội
 Đường Ba Cu, Phường 3, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Xô Viết Nghệ Tĩnh, Phường Thắng Tam, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Trường Sa, Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội
 Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh
 Xã Bắc Hồng, Huyện Đông Anh, Hà Nội
 Đường ĐT 768B, Phường Trảng Dài, Thành phố Biên Hoà, Đồng Nai
 Phố Hoa Bằng, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Trường Sa, Xã Kim Chung, Huyện Đông Anh, Hà Nội
 Đường Lê Duẩn, Phường Phương Liên, Quận Đống Đa, Hà Nội
 Đường Vân Trì, Xã Vân Nội, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh
 Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội
 Đường Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Xã Đại Mạch, Huyện Đông Anh, Hà Nội
 Đường Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Hồ Chí Minh
